D,supply,osm_coeff,no_saturation,fast_pseudo,only_P1P2,only_P1C,Keq_1,Keq_2,id
1e-06,1e-08,0,1,1,1,0,1,1,1
1e-06,1.03532184329566e-08,0,1,1,1,0,1,1,2
1e-06,1.07189131920513e-08,0,1,1,1,0,1,1,3
1e-06,1.10975249641207e-08,0,1,1,1,0,1,1,4
1e-06,1.14895100018731e-08,0,1,1,1,0,1,1,5
1e-06,1.18953406737032e-08,0,1,1,1,0,1,1,6
1e-06,1.23155060329283e-08,0,1,1,1,0,1,1,7
1e-06,1.27505124071301e-08,0,1,1,1,0,1,1,8
1e-06,1.32008840083142e-08,0,1,1,1,0,1,1,9
1e-06,1.36671635646201e-08,0,1,1,1,0,1,1,10
1e-06,1.41499129743458e-08,0,1,1,1,0,1,1,11
1e-06,1.46497139830728e-08,0,1,1,1,0,1,1,12
1e-06,1.51671688847092e-08,0,1,1,1,0,1,1,13
1e-06,1.57029012472938e-08,0,1,1,1,0,1,1,14
1e-06,1.62575566644379e-08,0,1,1,1,0,1,1,15
1e-06,1.68318035333096e-08,0,1,1,1,0,1,1,16
1e-06,1.74263338600965e-08,0,1,1,1,0,1,1,17
1e-06,1.80418640939207e-08,0,1,1,1,0,1,1,18
1e-06,1.86791359902078e-08,0,1,1,1,0,1,1,19
1e-06,1.93389175045523e-08,0,1,1,1,0,1,1,20
1e-06,2.00220037181558e-08,0,1,1,1,0,1,1,21
1e-06,2.07292177959537e-08,0,1,1,1,0,1,1,22
1e-06,2.14614119785841e-08,0,1,1,1,0,1,1,23
1e-06,2.22194686093952e-08,0,1,1,1,0,1,1,24
1e-06,2.30043011977292e-08,0,1,1,1,0,1,1,25
1e-06,2.38168555197616e-08,0,1,1,1,0,1,1,26
1e-06,2.4658110758226e-08,0,1,1,1,0,1,1,27
1e-06,2.55290806823952e-08,0,1,1,1,0,1,1,28
1e-06,2.6430814869741e-08,0,1,1,1,0,1,1,29
1e-06,2.73643999707467e-08,0,1,1,1,0,1,1,30
1e-06,2.83309610183932e-08,0,1,1,1,0,1,1,31
1e-06,2.93316627839004e-08,0,1,1,1,0,1,1,32
1e-06,3.03677111803546e-08,0,1,1,1,0,1,1,33
1e-06,3.1440354715915e-08,0,1,1,1,0,1,1,34
1e-06,3.25508859983506e-08,0,1,1,1,0,1,1,35
1e-06,3.37006432927192e-08,0,1,1,1,0,1,1,36
1e-06,3.48910121340677e-08,0,1,1,1,0,1,1,37
1e-06,3.61234269970943e-08,0,1,1,1,0,1,1,38
1e-06,3.7399373024788e-08,0,1,1,1,0,1,1,39
1e-06,3.87203878181256e-08,0,1,1,1,0,1,1,40
1e-06,4.00880632889846e-08,0,1,1,1,0,1,1,41
1e-06,4.15040475785047e-08,0,1,1,1,0,1,1,42
1e-06,4.29700470432084e-08,0,1,1,1,0,1,1,43
1e-06,4.44878283112759e-08,0,1,1,1,0,1,1,44
1e-06,4.6059220411451e-08,0,1,1,1,0,1,1,45
1e-06,4.76861169771447e-08,0,1,1,1,0,1,1,46
1e-06,4.937047852839e-08,0,1,1,1,0,1,1,47
1e-06,5.11143348344017e-08,0,1,1,1,0,1,1,48
1e-06,5.29197873595844e-08,0,1,1,1,0,1,1,49
1e-06,5.47890117959395e-08,0,1,1,1,0,1,1,50
1e-06,5.67242606849198e-08,0,1,1,1,0,1,1,51
1e-06,5.87278661318948e-08,0,1,1,1,0,1,1,52
1e-06,6.08022426164943e-08,0,1,1,1,0,1,1,53
1e-06,6.29498899022189e-08,0,1,1,1,0,1,1,54
1e-06,6.51733960488242e-08,0,1,1,1,0,1,1,55
1e-06,6.7475440531107e-08,0,1,1,1,0,1,1,56
1e-06,6.98587974678525e-08,0,1,1,1,0,1,1,57
1e-06,7.23263389648353e-08,0,1,1,1,0,1,1,58
1e-06,7.48810385759003e-08,0,1,1,1,0,1,1,59
1e-06,7.75259748862946e-08,0,1,1,1,0,1,1,60
1e-06,8.02643352225717e-08,0,1,1,1,0,1,1,61
1e-06,8.30994194935339e-08,0,1,1,1,0,1,1,62
1e-06,8.60346441668451e-08,0,1,1,1,0,1,1,63
1e-06,8.90735463861044e-08,0,1,1,1,0,1,1,64
1e-06,9.22197882333432e-08,0,1,1,1,0,1,1,65
1e-06,9.54771611420807e-08,0,1,1,1,0,1,1,66
1e-06,9.88495904662559e-08,0,1,1,1,0,1,1,67
1e-06,1.02341140210545e-07,0,1,1,1,0,1,1,68
1e-06,1.05956017927761e-07,0,1,1,1,0,1,1,69
1e-06,1.09698579789238e-07,0,1,1,1,0,1,1,70
1e-06,1.13573335834311e-07,0,1,1,1,0,1,1,71
1e-06,1.17584955405216e-07,0,1,1,1,0,1,1,72
1e-06,1.21738272773966e-07,0,1,1,1,0,1,1,73
1e-06,1.26038292967973e-07,0,1,1,1,0,1,1,74
1e-06,1.3049019780144e-07,0,1,1,1,0,1,1,75
1e-06,1.35099352119803e-07,0,1,1,1,0,1,1,76
