D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1e-06,1e-08,0,0,0,10,10,1,1,1
1e-06,1.05057865160242e-08,0,0,0,10,10,1,1,2
1e-06,1.10371550320276e-08,0,0,0,10,10,1,1,3
1e-06,1.15953994510744e-08,0,0,0,10,10,1,1,4
1e-06,1.21818791201011e-08,0,0,0,10,10,1,1,5
1e-06,1.27980221399795e-08,0,0,0,10,10,1,1,6
1e-06,1.34453288429976e-08,0,0,0,10,10,1,1,7
1e-06,1.41253754462276e-08,0,0,0,10,10,1,1,8
1e-06,1.48398178896757e-08,0,0,0,10,10,1,1,9
1e-06,1.55903958685609e-08,0,0,0,10,10,1,1,10
1e-06,1.63789370695406e-08,0,0,0,10,10,1,1,11
1e-06,1.72073616211989e-08,0,0,0,10,10,1,1,12
1e-06,1.80776867696343e-08,0,0,0,10,10,1,1,13
1e-06,1.89920317905333e-08,0,0,0,10,10,1,1,14
1e-06,1.99526231496888e-08,0,0,0,10,10,1,1,15
1e-06,2.09617999245313e-08,0,0,0,10,10,1,1,16
1e-06,2.20220194998737e-08,0,0,0,10,10,1,1,17
1e-06,2.31358635517395e-08,0,0,0,10,10,1,1,18
1e-06,2.43060443338441e-08,0,0,0,10,10,1,1,19
1e-06,2.55354112820386e-08,0,0,0,10,10,1,1,20
1e-06,2.68269579527973e-08,0,0,0,10,10,1,1,21
1e-06,2.81838293126446e-08,0,0,0,10,10,1,1,22
1e-06,2.96093293962708e-08,0,0,0,10,10,1,1,23
1e-06,3.11069293519861e-08,0,0,0,10,10,1,1,24
1e-06,3.26802758941013e-08,0,0,0,10,10,1,1,25
1e-06,3.43332001828199e-08,0,0,0,10,10,1,1,26
1e-06,3.60697271532629e-08,0,0,0,10,10,1,1,27
1e-06,3.78940853163421e-08,0,0,0,10,10,1,1,28
1e-06,3.98107170553497e-08,0,0,0,10,10,1,1,29
1e-06,4.18242894433348e-08,0,0,0,10,10,1,1,30
1e-06,4.3939705607608e-08,0,0,0,10,10,1,1,31
1e-06,4.6162116669048e-08,0,0,0,10,10,1,1,32
1e-06,4.8496934285282e-08,0,0,0,10,10,1,1,33
1e-06,5.09498438282827e-08,0,0,0,10,10,1,1,34
1e-06,5.35268182284711e-08,0,0,0,10,10,1,1,35
1e-06,5.62341325190349e-08,0,0,0,10,10,1,1,36
1e-06,5.90783791158794e-08,0,0,0,10,10,1,1,37
1e-06,6.20664838704171e-08,0,0,0,10,10,1,1,38
1e-06,6.52057229342861e-08,0,0,0,10,10,1,1,39
1e-06,6.85037404770632e-08,0,0,0,10,10,1,1,40
1e-06,7.19685673001151e-08,0,0,0,10,10,1,1,41
1e-06,7.56086403919129e-08,0,0,0,10,10,1,1,42
1e-06,7.94328234724282e-08,0,0,0,10,10,1,1,43
1e-06,8.34504285766366e-08,0,0,0,10,10,1,1,44
1e-06,8.76712387296869e-08,0,0,0,10,10,1,1,45
1e-06,9.21055317689482e-08,0,0,0,10,10,1,1,46
1e-06,9.67641053709454e-08,0,0,0,10,10,1,1,47
1e-06,1.01658303344122e-07,0,0,0,10,10,1,1,48
1e-06,1.06800043251458e-07,0,0,0,10,10,1,1,49
1e-06,1.12201845430196e-07,0,0,0,10,10,1,1,50
1e-06,1.17876863479359e-07,0,0,0,10,10,1,1,51
1e-06,1.23838916289267e-07,0,0,0,10,10,1,1,52
1e-06,1.30102521691083e-07,0,0,0,10,10,1,1,53
1e-06,1.36682931808293e-07,0,0,0,10,10,1,1,54
1e-06,1.43596170196222e-07,0,0,0,10,10,1,1,55
1e-06,1.50859070860018e-07,0,0,0,10,10,1,1,56
1e-06,1.58489319246111e-07,0,0,0,10,10,1,1,57
1e-06,1.66505495306965e-07,0,0,0,10,10,1,1,58
1e-06,1.74927118743984e-07,0,0,0,10,10,1,1,59
1e-06,1.83774696538751e-07,0,0,0,10,10,1,1,60
1e-06,1.93069772888325e-07,0,0,0,10,10,1,1,61
1e-06,2.02834981666202e-07,0,0,0,10,10,1,1,62
1e-06,2.1309410153668e-07,0,0,0,10,10,1,1,63
1e-06,2.23872113856834e-07,0,0,0,10,10,1,1,64
1e-06,2.35195263507096e-07,0,0,0,10,10,1,1,65
1e-06,2.4709112279856e-07,0,0,0,10,10,1,1,66
1e-06,2.5958865861264e-07,0,0,0,10,10,1,1,67
1e-06,2.72718302936548e-07,0,0,0,10,10,1,1,68
1e-06,2.86512026966378e-07,0,0,0,10,10,1,1,69
1e-06,3.01003418958214e-07,0,0,0,10,10,1,1,70
1e-06,3.16227766016838e-07,0,0,0,10,10,1,1,71
1e-06,3.32222140021215e-07,0,0,0,10,10,1,1,72
1e-06,3.49025487895958e-07,0,0,0,10,10,1,1,73
1e-06,3.66678726448612e-07,0,0,0,10,10,1,1,74
1e-06,3.85224842003675e-07,0,0,0,10,10,1,1,75
1e-06,4.04708995075977e-07,0,0,0,10,10,1,1,76
1e-06,4.25178630338289e-07,0,0,0,10,10,1,1,77
1e-06,4.46683592150963e-07,0,0,0,10,10,1,1,78
