D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,alpha_1,alpha_2,id
1e-06,1e-08,0,1,1,1,1,0.182,0,1
1e-06,1.03532184329566e-08,0,1,1,1,1,0.182,0,2
1e-06,1.07189131920513e-08,0,1,1,1,1,0.182,0,3
1e-06,1.10975249641207e-08,0,1,1,1,1,0.182,0,4
1e-06,1.14895100018731e-08,0,1,1,1,1,0.182,0,5
1e-06,1.18953406737032e-08,0,1,1,1,1,0.182,0,6
1e-06,1.23155060329283e-08,0,1,1,1,1,0.182,0,7
1e-06,1.27505124071301e-08,0,1,1,1,1,0.182,0,8
1e-06,1.32008840083142e-08,0,1,1,1,1,0.182,0,9
1e-06,1.36671635646201e-08,0,1,1,1,1,0.182,0,10
1e-06,1.41499129743458e-08,0,1,1,1,1,0.182,0,11
1e-06,1.46497139830728e-08,0,1,1,1,1,0.182,0,12
1e-06,1.51671688847092e-08,0,1,1,1,1,0.182,0,13
1e-06,1.57029012472938e-08,0,1,1,1,1,0.182,0,14
1e-06,1.62575566644379e-08,0,1,1,1,1,0.182,0,15
1e-06,1.68318035333096e-08,0,1,1,1,1,0.182,0,16
1e-06,1.74263338600965e-08,0,1,1,1,1,0.182,0,17
1e-06,1.80418640939207e-08,0,1,1,1,1,0.182,0,18
1e-06,1.86791359902078e-08,0,1,1,1,1,0.182,0,19
1e-06,1.93389175045523e-08,0,1,1,1,1,0.182,0,20
1e-06,2.00220037181558e-08,0,1,1,1,1,0.182,0,21
1e-06,2.07292177959537e-08,0,1,1,1,1,0.182,0,22
1e-06,2.14614119785841e-08,0,1,1,1,1,0.182,0,23
1e-06,2.22194686093952e-08,0,1,1,1,1,0.182,0,24
1e-06,2.30043011977292e-08,0,1,1,1,1,0.182,0,25
1e-06,2.38168555197616e-08,0,1,1,1,1,0.182,0,26
1e-06,2.4658110758226e-08,0,1,1,1,1,0.182,0,27
1e-06,2.55290806823952e-08,0,1,1,1,1,0.182,0,28
1e-06,2.6430814869741e-08,0,1,1,1,1,0.182,0,29
1e-06,2.73643999707467e-08,0,1,1,1,1,0.182,0,30
1e-06,2.83309610183932e-08,0,1,1,1,1,0.182,0,31
1e-06,2.93316627839004e-08,0,1,1,1,1,0.182,0,32
1e-06,3.03677111803546e-08,0,1,1,1,1,0.182,0,33
1e-06,3.1440354715915e-08,0,1,1,1,1,0.182,0,34
1e-06,3.25508859983506e-08,0,1,1,1,1,0.182,0,35
1e-06,3.37006432927192e-08,0,1,1,1,1,0.182,0,36
1e-06,3.48910121340677e-08,0,1,1,1,1,0.182,0,37
1e-06,3.61234269970943e-08,0,1,1,1,1,0.182,0,38
1e-06,3.7399373024788e-08,0,1,1,1,1,0.182,0,39
1e-06,3.87203878181256e-08,0,1,1,1,1,0.182,0,40
1e-06,4.00880632889846e-08,0,1,1,1,1,0.182,0,41
1e-06,4.15040475785047e-08,0,1,1,1,1,0.182,0,42
1e-06,4.29700470432084e-08,0,1,1,1,1,0.182,0,43
1e-06,4.44878283112759e-08,0,1,1,1,1,0.182,0,44
1e-06,4.6059220411451e-08,0,1,1,1,1,0.182,0,45
1e-06,4.76861169771447e-08,0,1,1,1,1,0.182,0,46
1e-06,4.937047852839e-08,0,1,1,1,1,0.182,0,47
1e-06,5.11143348344017e-08,0,1,1,1,1,0.182,0,48
1e-06,5.29197873595844e-08,0,1,1,1,1,0.182,0,49
1e-06,5.47890117959395e-08,0,1,1,1,1,0.182,0,50
1e-06,5.67242606849198e-08,0,1,1,1,1,0.182,0,51
1e-06,5.87278661318948e-08,0,1,1,1,1,0.182,0,52
1e-06,6.08022426164943e-08,0,1,1,1,1,0.182,0,53
1e-06,6.29498899022189e-08,0,1,1,1,1,0.182,0,54
1e-06,6.51733960488242e-08,0,1,1,1,1,0.182,0,55
1e-06,6.7475440531107e-08,0,1,1,1,1,0.182,0,56
1e-06,6.98587974678525e-08,0,1,1,1,1,0.182,0,57
1e-06,7.23263389648353e-08,0,1,1,1,1,0.182,0,58
1e-06,7.48810385759003e-08,0,1,1,1,1,0.182,0,59
1e-06,7.75259748862946e-08,0,1,1,1,1,0.182,0,60
1e-06,8.02643352225717e-08,0,1,1,1,1,0.182,0,61
1e-06,8.30994194935339e-08,0,1,1,1,1,0.182,0,62
1e-06,8.60346441668451e-08,0,1,1,1,1,0.182,0,63
1e-06,8.90735463861044e-08,0,1,1,1,1,0.182,0,64
1e-06,9.22197882333432e-08,0,1,1,1,1,0.182,0,65
1e-06,9.54771611420807e-08,0,1,1,1,1,0.182,0,66
1e-06,9.88495904662559e-08,0,1,1,1,1,0.182,0,67
1e-06,1.02341140210545e-07,0,1,1,1,1,0.182,0,68
1e-06,1.05956017927761e-07,0,1,1,1,1,0.182,0,69
1e-06,1.09698579789238e-07,0,1,1,1,1,0.182,0,70
1e-06,1.13573335834311e-07,0,1,1,1,1,0.182,0,71
1e-06,1.17584955405216e-07,0,1,1,1,1,0.182,0,72
1e-06,1.21738272773966e-07,0,1,1,1,1,0.182,0,73
1e-06,1.26038292967973e-07,0,1,1,1,1,0.182,0,74
1e-06,1.3049019780144e-07,0,1,1,1,1,0.182,0,75
1e-06,1.35099352119803e-07,0,1,1,1,1,0.182,0,76
1e-06,1.39871310264724e-07,0,1,1,1,1,0.182,0,77
1e-06,1.44811822767453e-07,0,1,1,1,1,0.182,0,78
1e-06,1.49926843278605e-07,0,1,1,1,1,0.182,0,79
1e-06,1.55222535742705e-07,0,1,1,1,1,0.182,0,80
1e-06,1.60705281826164e-07,0,1,1,1,1,0.182,0,81
1e-06,1.66381688607613e-07,0,1,1,1,1,0.182,0,82
1e-06,1.72258596539879e-07,0,1,1,1,1,0.182,0,83
1e-06,1.78343087693191e-07,0,1,1,1,1,0.182,0,84
1e-06,1.84642494289554e-07,0,1,1,1,1,0.182,0,85
1e-06,1.9116440753857e-07,0,1,1,1,1,0.182,0,86
1e-06,1.97916686785356e-07,0,1,1,1,1,0.182,0,87
1e-06,2.04907468981585e-07,0,1,1,1,1,0.182,0,88
1e-06,2.12145178491063e-07,0,1,1,1,1,0.182,0,89
1e-06,2.19638537241655e-07,0,1,1,1,1,0.182,0,90
1e-06,2.27396575235793e-07,0,1,1,1,1,0.182,0,91
1e-06,2.35428641432242e-07,0,1,1,1,1,0.182,0,92
1e-06,2.43744415012222e-07,0,1,1,1,1,0.182,0,93
1e-06,2.52353917043477e-07,0,1,1,1,1,0.182,0,94
1e-06,2.61267522556333e-07,0,1,1,1,1,0.182,0,95
1e-06,2.70495973046314e-07,0,1,1,1,1,0.182,0,96
1e-06,2.80050389418363e-07,0,1,1,1,1,0.182,0,97
1e-06,2.89942285388288e-07,0,1,1,1,1,0.182,0,98
1e-06,3.00183581357559e-07,0,1,1,1,1,0.182,0,99
1e-06,3.10786618778201e-07,0,1,1,1,1,0.182,0,100
1e-06,3.21764175025074e-07,0,1,1,1,1,0.182,0,101
1e-06,3.33129478793467e-07,0,1,1,1,1,0.182,0,102
1e-06,3.44896226040576e-07,0,1,1,1,1,0.182,0,103
1e-06,3.57078596490046e-07,0,1,1,1,1,0.182,0,104
1e-06,3.69691270719502e-07,0,1,1,1,1,0.182,0,105
1e-06,3.82749447851632e-07,0,1,1,1,1,0.182,0,106
1e-06,3.96268863870148e-07,0,1,1,1,1,0.182,0,107
1e-06,4.10265810582719e-07,0,1,1,1,1,0.182,0,108
1e-06,4.24757155253689e-07,0,1,1,1,1,0.182,0,109
1e-06,4.39760360930272e-07,0,1,1,1,1,0.182,0,110
1e-06,4.55293507486695e-07,0,1,1,1,1,0.182,0,111
1e-06,4.71375313411673e-07,0,1,1,1,1,0.182,0,112
1e-06,4.88025158365443e-07,0,1,1,1,1,0.182,0,113
1e-06,5.05263106533568e-07,0,1,1,1,1,0.182,0,114
1e-06,5.23109930805626e-07,0,1,1,1,1,0.182,0,115
1e-06,5.41587137807948e-07,0,1,1,1,1,0.182,0,116
1e-06,5.60716993820546e-07,0,1,1,1,1,0.182,0,117
1e-06,5.8052255160949e-07,0,1,1,1,1,0.182,0,118
1e-06,6.01027678207039e-07,0,1,1,1,1,0.182,0,119
1e-06,6.22257083673023e-07,0,1,1,1,1,0.182,0,120
1e-06,6.44236350872137e-07,0,1,1,1,1,0.182,0,121
1e-06,6.66991966303011e-07,0,1,1,1,1,0.182,0,122
1e-06,6.90551352016233e-07,0,1,1,1,1,0.182,0,123
1e-06,7.14942898659758e-07,0,1,1,1,1,0.182,0,124
1e-06,7.40195999691565e-07,0,1,1,1,1,0.182,0,125
1e-06,7.66341086800746e-07,0,1,1,1,1,0.182,0,126
1e-06,7.93409666579749e-07,0,1,1,1,1,0.182,0,127
1e-06,8.21434358491942e-07,0,1,1,1,1,0.182,0,128
1e-06,8.50448934180267e-07,0,1,1,1,1,0.182,0,129
1e-06,8.80488358164346e-07,0,1,1,1,1,0.182,0,130
1e-06,9.11588829975082e-07,0,1,1,1,1,0.182,0,131
1e-06,9.43787827777539e-07,0,1,1,1,1,0.182,0,132
1e-06,9.7712415353465e-07,0,1,1,1,1,0.182,0,133
1e-06,1.01163797976621e-06,0,1,1,1,1,0.182,0,134
1e-06,1.04737089795945e-06,0,1,1,1,1,0.182,0,135
1e-06,1.08436596868961e-06,0,1,1,1,1,0.182,0,136
1e-06,1.12266777351081e-06,0,1,1,1,1,0.182,0,137
1e-06,1.16232246867985e-06,0,1,1,1,1,0.182,0,138
1e-06,1.20337784077759e-06,0,1,1,1,1,0.182,0,139
1e-06,1.24588336429501e-06,0,1,1,1,1,0.182,0,140
1e-06,1.28989026125331e-06,0,1,1,1,1,0.182,0,141
1e-06,1.3354515629299e-06,0,1,1,1,1,0.182,0,142
1e-06,1.38262217376466e-06,0,1,1,1,1,0.182,0,143
1e-06,1.43145893752348e-06,0,1,1,1,1,0.182,0,144
1e-06,1.48202070579886e-06,0,1,1,1,1,0.182,0,145
1e-06,1.53436840893001e-06,0,1,1,1,1,0.182,0,146
1e-06,1.58856512942805e-06,0,1,1,1,1,0.182,0,147
1e-06,1.64467617799466e-06,0,1,1,1,1,0.182,0,148
1e-06,1.7027691722259e-06,0,1,1,1,1,0.182,0,149
1e-06,1.76291411809595e-06,0,1,1,1,1,0.182,0,150
1e-06,1.82518349431904e-06,0,1,1,1,1,0.182,0,151
1e-06,1.88965233969121e-06,0,1,1,1,1,0.182,0,152
1e-06,1.95639834351706e-06,0,1,1,1,1,0.182,0,153
1e-06,2.02550193923067e-06,0,1,1,1,1,0.182,0,154
1e-06,2.09704640132323e-06,0,1,1,1,1,0.182,0,155
1e-06,2.1711179456945e-06,0,1,1,1,1,0.182,0,156
1e-06,2.24780583354873e-06,0,1,1,1,1,0.182,0,157
1e-06,2.32720247896041e-06,0,1,1,1,1,0.182,0,158
1e-06,2.40940356023953e-06,0,1,1,1,1,0.182,0,159
1e-06,2.49450813523032e-06,0,1,1,1,1,0.182,0,160
1e-06,2.58261876068267e-06,0,1,1,1,1,0.182,0,161
1e-06,2.67384161583994e-06,0,1,1,1,1,0.182,0,162
1e-06,2.76828663039207e-06,0,1,1,1,1,0.182,0,163
1e-06,2.86606761694825e-06,0,1,1,1,1,0.182,0,164
1e-06,2.96730240818887e-06,0,1,1,1,1,0.182,0,165
1e-06,3.07211299886176e-06,0,1,1,1,1,0.182,0,166
1e-06,3.18062569279412e-06,0,1,1,1,1,0.182,0,167
1e-06,3.29297125509715e-06,0,1,1,1,1,0.182,0,168
1e-06,3.40928506974681e-06,0,1,1,1,1,0.182,0,169
1e-06,3.52970730273065e-06,0,1,1,1,1,0.182,0,170
1e-06,3.65438307095726e-06,0,1,1,1,1,0.182,0,171
1e-06,3.78346261713193e-06,0,1,1,1,1,0.182,0,172
1e-06,3.91710149080926e-06,0,1,1,1,1,0.182,0,173
1e-06,4.05546073584083e-06,0,1,1,1,1,0.182,0,174
1e-06,4.19870708444391e-06,0,1,1,1,1,0.182,0,175
1e-06,4.34701315812503e-06,0,1,1,1,1,0.182,0,176
1e-06,4.5005576757005e-06,0,1,1,1,1,0.182,0,177
1e-06,4.65952566866469e-06,0,1,1,1,1,0.182,0,178
1e-06,4.82410870416537e-06,0,1,1,1,1,0.182,0,179
1e-06,4.99450511585514e-06,0,1,1,1,1,0.182,0,180
1e-06,5.17092024289675e-06,0,1,1,1,1,0.182,0,181
1e-06,5.35356667741072e-06,0,1,1,1,1,0.182,0,182
1e-06,5.54266452066311e-06,0,1,1,1,1,0.182,0,183
1e-06,5.73844164830239e-06,0,1,1,1,1,0.182,0,184
1e-06,5.94113398496504e-06,0,1,1,1,1,0.182,0,185
1e-06,6.1509857885805e-06,0,1,1,1,1,0.182,0,186
1e-06,6.36824994471859e-06,0,1,1,1,1,0.182,0,187
1e-06,6.59318827133354e-06,0,1,1,1,1,0.182,0,188
1e-06,6.82607183427238e-06,0,1,1,1,1,0.182,0,189
1e-06,7.06718127392749e-06,0,1,1,1,1,0.182,0,190
1e-06,7.31680714342721e-06,0,1,1,1,1,0.182,0,191
1e-06,7.57525025877192e-06,0,1,1,1,1,0.182,0,192
1e-06,7.84282206133768e-06,0,1,1,1,1,0.182,0,193
1e-06,8.11984499318401e-06,0,1,1,1,1,0.182,0,194
1e-06,8.40665288561832e-06,0,1,1,1,1,0.182,0,195
1e-06,8.70359136148517e-06,0,1,1,1,1,0.182,0,196
1e-06,9.01101825166502e-06,0,1,1,1,1,0.182,0,197
1e-06,9.3293040262847e-06,0,1,1,1,1,0.182,0,198
1e-06,9.65883224115871e-06,0,1,1,1,1,0.182,0,199
1e-06,1e-05,0,1,1,1,1,0.182,0,200
1.03532184329566e-06,1e-08,0,1,1,1,1,0.182,0,201
1.03532184329566e-06,1.03532184329566e-08,0,1,1,1,1,0.182,0,202
1.03532184329566e-06,1.07189131920513e-08,0,1,1,1,1,0.182,0,203
1.03532184329566e-06,1.10975249641207e-08,0,1,1,1,1,0.182,0,204
1.03532184329566e-06,1.14895100018731e-08,0,1,1,1,1,0.182,0,205
1.03532184329566e-06,1.18953406737032e-08,0,1,1,1,1,0.182,0,206
1.03532184329566e-06,1.23155060329283e-08,0,1,1,1,1,0.182,0,207
1.03532184329566e-06,1.27505124071301e-08,0,1,1,1,1,0.182,0,208
1.03532184329566e-06,1.32008840083142e-08,0,1,1,1,1,0.182,0,209
1.03532184329566e-06,1.36671635646201e-08,0,1,1,1,1,0.182,0,210
1.03532184329566e-06,1.41499129743458e-08,0,1,1,1,1,0.182,0,211
1.03532184329566e-06,1.46497139830728e-08,0,1,1,1,1,0.182,0,212
1.03532184329566e-06,1.51671688847092e-08,0,1,1,1,1,0.182,0,213
1.03532184329566e-06,1.57029012472938e-08,0,1,1,1,1,0.182,0,214
1.03532184329566e-06,1.62575566644379e-08,0,1,1,1,1,0.182,0,215
1.03532184329566e-06,1.68318035333096e-08,0,1,1,1,1,0.182,0,216
1.03532184329566e-06,1.74263338600965e-08,0,1,1,1,1,0.182,0,217
1.03532184329566e-06,1.80418640939207e-08,0,1,1,1,1,0.182,0,218
1.03532184329566e-06,1.86791359902078e-08,0,1,1,1,1,0.182,0,219
1.03532184329566e-06,1.93389175045523e-08,0,1,1,1,1,0.182,0,220
1.03532184329566e-06,2.00220037181558e-08,0,1,1,1,1,0.182,0,221
1.03532184329566e-06,2.07292177959537e-08,0,1,1,1,1,0.182,0,222
1.03532184329566e-06,2.14614119785841e-08,0,1,1,1,1,0.182,0,223
1.03532184329566e-06,2.22194686093952e-08,0,1,1,1,1,0.182,0,224
1.03532184329566e-06,2.30043011977292e-08,0,1,1,1,1,0.182,0,225
1.03532184329566e-06,2.38168555197616e-08,0,1,1,1,1,0.182,0,226
1.03532184329566e-06,2.4658110758226e-08,0,1,1,1,1,0.182,0,227
